indel_size	fq
-184	0
-183	0
-182	0
-181	0
-180	0
-179	0
-178	0
-177	0
-176	0
-175	0
-174	0
-173	0
-172	0
-171	0
-170	0
-169	0
-168	0
-167	0
-166	0
-165	0
-164	0
-163	0
-162	0
-161	0
-160	0
-159	0
-158	0
-157	0
-156	0
-155	0
-154	0
-153	0
-152	0
-151	0
-150	0
-149	0
-148	0
-147	0
-146	0
-145	0
-144	0
-143	0
-142	0
-141	0
-140	0
-139	0
-138	0
-137	0
-136	0
-135	0
-134	0
-133	0
-132	0
-131	0
-130	0
-129	0
-128	0
-127	0
-126	0
-125	0
-124	0
-123	0
-122	0
-121	0
-120	0
-119	0
-118	0
-117	0
-116	0
-115	0
-114	0
-113	0
-112	0
-111	0
-110	0
-109	0
-108	0
-107	0
-106	0
-105	0
-104	0
-103	0
-102	0
-101	0
-100	0
-99	0
-98	0
-97	0
-96	0
-95	0
-94	1
-93	0
-92	0
-91	0
-90	0
-89	0
-88	0
-87	0
-86	2
-85	0
-84	0
-83	0
-82	0
-81	6
-80	0
-79	3
-78	0
-77	12
-76	0
-75	0
-74	5
-73	4
-72	0
-71	14
-70	16
-69	7
-68	9
-67	14
-66	25
-65	14
-64	1
-63	1
-62	8
-61	2
-60	1
-59	1
-58	138
-57	0
-56	3574
-55	320
-54	0
-53	0
-52	1024
-51	0
-50	0
-49	0
-48	672
-47	822
-46	0
-45	807
-44	0
-43	574
-42	737
-41	1791
-40	24
-39	1048
-38	0
-37	342
-36	350
-35	2451
-34	233
-33	1222
-32	1
-31	2757
-30	2047
-29	1645
-28	994
-27	2375
-26	1099
-25	5516
-24	1655
-23	657
-22	390
-21	2161
-20	809
-19	2307
-18	5955
-17	872
-16	998
-15	3676
-14	5220
-13	11413
-12	26802
-11	8390
-10	2977
-9	2177
-8	1716
-7	1473
-6	984
-5	3012
-4	4483
-3	3837
-2	4237
-1	93257
0	59564
1	9686
2	966
3	219
4	537
5	562
6	21
7	4
8	0
9	82
10	85
11	20
12	101
13	0
14	9
15	0
16	0
17	75
18	0
19	0
20	0
21	58
22	0
23	0
24	0
25	0
26	0
27	0
28	96
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	3
39	5
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
