indel_size	fq
-184	0
-183	0
-182	0
-181	0
-180	0
-179	0
-178	0
-177	0
-176	0
-175	0
-174	0
-173	0
-172	0
-171	0
-170	0
-169	0
-168	0
-167	0
-166	0
-165	0
-164	0
-163	0
-162	0
-161	0
-160	0
-159	0
-158	0
-157	0
-156	0
-155	0
-154	0
-153	0
-152	0
-151	0
-150	0
-149	0
-148	0
-147	0
-146	0
-145	0
-144	0
-143	0
-142	0
-141	0
-140	0
-139	0
-138	0
-137	0
-136	0
-135	0
-134	0
-133	0
-132	0
-131	0
-130	0
-129	0
-128	0
-127	0
-126	0
-125	0
-124	0
-123	0
-122	0
-121	0
-120	0
-119	0
-118	0
-117	0
-116	0
-115	0
-114	0
-113	0
-112	0
-111	0
-110	0
-109	0
-108	0
-107	0
-106	0
-105	0
-104	0
-103	0
-102	0
-101	0
-100	0
-99	0
-98	0
-97	0
-96	0
-95	0
-94	0
-93	0
-92	0
-91	1
-90	0
-89	0
-88	0
-87	0
-86	0
-85	0
-84	1
-83	2
-82	0
-81	4
-80	0
-79	1
-78	0
-77	3
-76	1
-75	1
-74	2
-73	4
-72	0
-71	14
-70	9
-69	8
-68	11
-67	26
-66	16
-65	9
-64	5
-63	3
-62	8
-61	3
-60	0
-59	0
-58	0
-57	0
-56	9
-55	12
-54	21
-53	0
-52	13
-51	0
-50	13
-49	0
-48	1
-47	34
-46	0
-45	9
-44	19
-43	19
-42	6
-41	37
-40	2
-39	28
-38	77
-37	17
-36	170
-35	192
-34	60
-33	160
-32	76
-31	162
-30	708
-29	335
-28	506
-27	169
-26	188
-25	758
-24	317
-23	123
-22	463
-21	849
-20	131
-19	649
-18	752
-17	1207
-16	1297
-15	1079
-14	895
-13	5074
-12	12487
-11	3315
-10	3104
-9	2170
-8	1036
-7	756
-6	885
-5	3497
-4	2539
-3	4300
-2	5439
-1	83647
0	58524
1	111594
2	1590
3	607
4	255
5	204
6	1
7	157
8	0
9	91
10	0
11	0
12	93
13	2
14	0
15	1
16	75
17	54
18	0
19	0
20	5
21	0
22	0
23	28
24	85
25	0
26	0
27	0
28	0
29	101
30	0
31	0
32	0
33	79
34	0
35	0
36	50
37	28
38	24
39	37
40	0
41	0
42	0
43	10
44	0
45	0
46	24
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
