# amplicon position	effect
1	4.253789166043635106e+01
2	9.447427445116562961e-02
3	5.675253177462108445e-02
4	1.471487799904846183e-01
5	9.651328756881669135e-02
6	7.605518928838441717e-01
7	5.777203833344660838e-02
8	4.859647930401685828e-02
9	3.976075579419560690e-02
10	1.152042411472847111e-01
11	1.230204580982804385e-01
12	2.616733500985523111e-02
13	5.437368313736151704e-02
14	1.532658193434377758e-01
15	9.311493237273159307e-02
16	9.583361652959968002e-02
17	5.165499898049344396e-02
18	9.243526133351458174e-02
19	9.005641269625501433e-02
20	2.242914429416162717e-02
21	1.621015428532590341e-01
22	1.291374974512336099e-02
23	1.869095357846801975e-02
24	2.005029565690205975e-02
25	2.005029565690205975e-02
26	1.019506558825528444e-02
27	1.903078909807653235e-02
28	1.699177598042547407e-02
29	9.515394549038266175e-03
30	2.650717052946374025e-02
31	2.208930877455311456e-02
32	1.733161150003398321e-02
33	8.835723509821246172e-03
34	2.344865085298715457e-02
35	1.495276286277441753e-02
36	1.665194046081696494e-02
37	1.223407870590634099e-02
38	1.971046013729355062e-02
39	2.208930877455311456e-02
40	1.869095357846801975e-02
41	1.291374974512336099e-02
42	9.855230068646775310e-03
43	7.136545911778698764e-03
44	7.816216950995718768e-03
45	1.325358526473187012e-02
46	2.480799293142119111e-02
47	1.937062461768504149e-02
48	1.767144701964249234e-02
49	2.616733500985523111e-02
50	5.437368313736151357e-03
51	1.631210494120845581e-02
52	1.461292734316590840e-02
53	1.393325630394888839e-02
54	1.019506558825528444e-02
55	1.291374974512336099e-02
56	1.155440766668932272e-02
57	7.476381431387208766e-03
58	1.053490110786379358e-02
59	1.971046013729355062e-02
60	1.631210494120845581e-02
61	2.106980221572758716e-02
62	9.515394549038266175e-03
63	1.903078909807653235e-02
64	9.175559029429755306e-03
65	2.276897981377013630e-02
66	1.971046013729355062e-02
67	1.835111805885951061e-02
68	1.699177598042547407e-02
69	7.816216950995718768e-03
70	9.175559029429755306e-03
71	2.446815741181268197e-02
72	1.801128253925100148e-02
73	2.039013117651056889e-02
74	2.582749949024672198e-02
75	1.087473662747230271e-02
76	1.903078909807653235e-02
77	1.461292734316590840e-02
78	1.665194046081696494e-02
79	1.631210494120845581e-02
80	1.223407870590634099e-02
81	1.495276286277441753e-02
82	1.427309182355739753e-02
83	5.437368313736151357e-03
84	1.189424318629783185e-02
85	1.665194046081696494e-02
86	2.208930877455311456e-02
87	1.359342078434037926e-02
88	1.563243390199143754e-02
89	1.087473662747230271e-02
90	1.223407870590634099e-02
91	3.194453884319989334e-02
92	1.699177598042547407e-02
93	9.855230068646775310e-03
94	1.767144701964249234e-02
95	1.427309182355739753e-02
96	6.796710392170189630e-03
97	1.563243390199143754e-02
98	1.801128253925100148e-02
99	1.971046013729355062e-02
100	1.801128253925100148e-02
101	1.257391422551485012e-02
102	2.344865085298715457e-02
103	1.495276286277441753e-02
104	1.359342078434037926e-02
105	2.174947325494460543e-02
106	1.733161150003398321e-02
107	1.359342078434037926e-02
108	1.869095357846801975e-02
109	9.175559029429755306e-03
110	7.136545911778698764e-03
111	2.786651260789777679e-02
112	3.160470332359138074e-02
113	6.117039352953170493e-03
114	3.874124923537008297e-02
115	2.480799293142119111e-02
116	2.140963773533609629e-02
117	2.548766397063820938e-02
118	1.495276286277441753e-02
119	1.223407870590634099e-02
120	2.922585468633181680e-02
121	1.393325630394888839e-02
122	2.548766397063820938e-02
123	6.796710392170189630e-03
124	1.631210494120845581e-02
125	2.480799293142119111e-02
126	2.310881533337864543e-02
127	2.174947325494460543e-02
128	4.078026235302113778e-02
129	1.019506558825528444e-02
130	3.398355196085094815e-02
131	2.310881533337864543e-02
132	5.539318969618704791e-02
133	1.213212805002378825e-01
134	4.010059131380411951e-02
135	2.548766397063820938e-02
136	3.840141371576157037e-02
137	4.112009787262965038e-02
138	3.602256507850200296e-02
139	2.140963773533609629e-02
140	2.480799293142119111e-02
141	1.522463127846122588e-01
142	1.532658193434377758e-01
143	1.471487799904846183e-01
144	1.597226942159994667e-01
145	1.648202270101271072e-01
146	1.457894379120505679e-01
147	1.444300958336165175e-01
148	1.576836810983484050e-01
149	2.137565418337524503e-01
150	2.467205872357778884e-01
151	4.900428192754706647e-01
152	4.788282471283898389e-01
153	4.563991028342282430e-01
154	7.269081764426017500e-01
155	1.004213960443145481e+00
156	1.254332902875008537e+00
157	1.574457962346224482e+00
158	1.755930129817168561e+00
159	3.074831781417793675e+00
160	3.133283490790457204e+00
161	3.321552368653571730e+00
162	3.386460952898796783e+00
163	3.595119961938421760e+00
164	3.783728675321144763e+00
165	4.677156256371915788e+00
166	5.242982396520083910e+00
167	6.139808332766940602e+00
168	6.586692041052130797e+00
169	8.309318289947665193e+00
170	8.997145381635288430e+00
171	1.030177394141235681e+01
172	1.176408618228777314e+01
173	1.244069870182831572e+01
174	1.498878542785291934e+01
175	1.801434105892747795e+01
176	1.940698701828315009e+01
177	2.900428192754706558e+01
178	2.908788146537076003e+01
179	3.041731801807924995e+01
180	3.289641813362332812e+01
181	3.615034323387480697e+01
182	3.628559777067899006e+01
183	3.682831509549377813e+01
184	3.911744715557669849e+01
185	7.468429280228369294e+01
186	3.927343165907700495e+01
187	3.193298443553320354e+01
188	3.071535376877591261e+01
189	2.304662543329028779e+01
190	2.059471215931489141e+01
191	2.003568272955889285e+01
192	1.833310677632026042e+01
193	1.585060830558009926e+01
194	1.396452117175287100e+01
195	1.281043974716237344e+01
196	1.259090600149527717e+01
197	1.183035410861143255e+01
198	9.902467205872357070e+00
199	9.271052810439746494e+00
200	6.128933596139468420e+00
201	6.273363691973084855e+00
202	5.864201726364439260e+00
203	5.378576768843879918e+00
204	5.382654795079181653e+00
205	4.737986814381839551e+00
206	4.418881261469448596e+00
207	4.199007680282742960e+00
208	4.113369129341398533e+00
209	4.004281927547067355e+00
210	2.830490042819275409e+00
211	2.959627540270509005e+00
212	3.042887242574594087e+00
213	2.840345272887922157e+00
214	2.286073540406443172e+00
215	1.573098620267790348e+00
216	1.940120981444980686e+00
217	1.979881737239176154e+00
218	1.253653231835791582e+00
219	1.155440766668932140e+00
220	1.557126350846190554e+00
221	1.433766057228301527e+00
222	1.200299055257255443e+00
223	4.482430503636239960e-01
224	1.026982940256915722e+00
225	5.739821926187724799e-01
226	9.889213620607626432e-01
227	2.106980221572758716e-01
228	5.399986406579215803e-01
229	3.758580846870114844e-01
230	3.785767688438795853e-01
231	2.049208183239312198e-01
232	7.744851491877930982e-01
233	2.103581866376673659e-01
234	2.083191735200163042e-01
235	7.197716305308230478e-01
236	4.822266023244749511e-01
237	7.928362672466525707e-01
238	9.726092571195541492e-01
239	5.967511724325426092e-01
240	1.053150275266770963e+00
241	8.886698837762523340e-01
242	8.489091279820566438e-01
243	6.718548222660232216e-01
244	7.252089988445592494e-01
245	7.228301502072996820e-01
246	1.133011622374770599e+00
247	4.359511996193842265e+01
