# amplicon position	effect
1	2.240000000000000000e+02
2	5.100000000000000000e+01
3	2.600000000000000000e+01
4	1.400000000000000000e+02
5	3.200000000000000000e+01
6	1.043000000000000000e+03
7	6.200000000000000000e+01
8	2.800000000000000000e+01
9	2.700000000000000000e+01
10	7.700000000000000000e+01
11	1.130000000000000000e+02
12	1.600000000000000000e+01
13	1.800000000000000000e+01
14	1.050000000000000000e+02
15	2.100000000000000000e+01
16	1.800000000000000000e+01
17	4.100000000000000000e+01
18	3.600000000000000000e+01
19	3.000000000000000000e+01
20	1.000000000000000000e+01
21	0.000000000000000000e+00
22	0.000000000000000000e+00
23	1.000000000000000000e+00
24	1.000000000000000000e+00
25	0.000000000000000000e+00
26	1.000000000000000000e+00
27	0.000000000000000000e+00
28	0.000000000000000000e+00
29	0.000000000000000000e+00
30	7.000000000000000000e+00
31	0.000000000000000000e+00
32	0.000000000000000000e+00
33	0.000000000000000000e+00
34	6.000000000000000000e+00
35	0.000000000000000000e+00
36	0.000000000000000000e+00
37	0.000000000000000000e+00
38	0.000000000000000000e+00
39	0.000000000000000000e+00
40	0.000000000000000000e+00
41	0.000000000000000000e+00
42	1.000000000000000000e+00
43	3.000000000000000000e+00
44	0.000000000000000000e+00
45	0.000000000000000000e+00
46	1.600000000000000000e+01
47	0.000000000000000000e+00
48	0.000000000000000000e+00
49	0.000000000000000000e+00
50	0.000000000000000000e+00
51	0.000000000000000000e+00
52	0.000000000000000000e+00
53	0.000000000000000000e+00
54	1.000000000000000000e+00
55	5.000000000000000000e+00
56	5.000000000000000000e+00
57	0.000000000000000000e+00
58	1.000000000000000000e+00
59	2.000000000000000000e+00
60	3.000000000000000000e+00
61	0.000000000000000000e+00
62	0.000000000000000000e+00
63	0.000000000000000000e+00
64	0.000000000000000000e+00
65	2.400000000000000000e+01
66	0.000000000000000000e+00
67	0.000000000000000000e+00
68	0.000000000000000000e+00
69	0.000000000000000000e+00
70	0.000000000000000000e+00
71	2.000000000000000000e+00
72	4.000000000000000000e+00
73	0.000000000000000000e+00
74	1.000000000000000000e+00
75	0.000000000000000000e+00
76	2.000000000000000000e+00
77	1.000000000000000000e+00
78	0.000000000000000000e+00
79	0.000000000000000000e+00
80	0.000000000000000000e+00
81	0.000000000000000000e+00
82	0.000000000000000000e+00
83	0.000000000000000000e+00
84	1.000000000000000000e+00
85	0.000000000000000000e+00
86	1.000000000000000000e+00
87	0.000000000000000000e+00
88	0.000000000000000000e+00
89	0.000000000000000000e+00
90	0.000000000000000000e+00
91	4.000000000000000000e+00
92	1.000000000000000000e+00
93	3.000000000000000000e+00
94	0.000000000000000000e+00
95	1.000000000000000000e+00
96	1.000000000000000000e+00
97	0.000000000000000000e+00
98	0.000000000000000000e+00
99	0.000000000000000000e+00
100	0.000000000000000000e+00
101	3.400000000000000000e+01
102	0.000000000000000000e+00
103	2.000000000000000000e+00
104	0.000000000000000000e+00
105	5.000000000000000000e+00
106	1.000000000000000000e+00
107	1.000000000000000000e+00
108	1.000000000000000000e+00
109	0.000000000000000000e+00
110	1.000000000000000000e+00
111	0.000000000000000000e+00
112	5.900000000000000000e+01
113	0.000000000000000000e+00
114	8.200000000000000000e+01
115	3.000000000000000000e+00
116	1.000000000000000000e+00
117	1.000000000000000000e+00
118	1.000000000000000000e+00
119	1.000000000000000000e+00
120	1.000000000000000000e+00
121	1.000000000000000000e+00
122	1.000000000000000000e+00
123	2.000000000000000000e+00
124	4.000000000000000000e+00
125	0.000000000000000000e+00
126	1.000000000000000000e+00
127	2.000000000000000000e+00
128	2.000000000000000000e+00
129	1.000000000000000000e+00
130	9.700000000000000000e+01
131	1.200000000000000000e+01
132	1.100000000000000000e+01
133	1.000000000000000000e+01
134	1.300000000000000000e+01
135	1.300000000000000000e+01
136	1.500000000000000000e+01
137	1.000000000000000000e+01
138	1.300000000000000000e+01
139	4.500000000000000000e+01
140	5.300000000000000000e+01
141	4.100000000000000000e+01
142	4.100000000000000000e+01
143	4.100000000000000000e+01
