# amplicon position	effect
1	5.800000000000000000e+01
2	5.000000000000000000e+01
3	1.500000000000000000e+01
4	3.900000000000000000e+01
5	5.900000000000000000e+01
6	3.100000000000000000e+01
7	1.400000000000000000e+01
8	2.500000000000000000e+01
9	1.800000000000000000e+01
10	1.400000000000000000e+01
11	2.500000000000000000e+01
12	1.400000000000000000e+01
13	2.300000000000000000e+01
14	5.700000000000000000e+01
15	8.600000000000000000e+01
16	9.100000000000000000e+01
17	1.300000000000000000e+01
18	1.400000000000000000e+01
19	2.300000000000000000e+01
20	1.500000000000000000e+01
21	1.390000000000000000e+02
22	1.400000000000000000e+01
23	9.000000000000000000e+00
24	1.700000000000000000e+01
25	2.000000000000000000e+01
26	8.000000000000000000e+00
27	1.000000000000000000e+01
28	1.400000000000000000e+01
29	8.500000000000000000e+01
30	1.100000000000000000e+01
31	1.900000000000000000e+01
32	1.900000000000000000e+01
33	9.000000000000000000e+00
34	1.900000000000000000e+01
35	1.400000000000000000e+01
36	1.700000000000000000e+01
37	1.100000000000000000e+01
38	1.100000000000000000e+01
39	5.700000000000000000e+01
40	2.000000000000000000e+01
41	1.500000000000000000e+01
42	2.800000000000000000e+01
43	6.000000000000000000e+00
44	5.000000000000000000e+00
45	9.000000000000000000e+00
46	8.000000000000000000e+00
47	2.400000000000000000e+01
48	2.200000000000000000e+01
49	1.500000000000000000e+01
50	5.000000000000000000e+00
51	8.000000000000000000e+00
52	1.000000000000000000e+01
53	1.400000000000000000e+01
54	8.000000000000000000e+00
55	1.100000000000000000e+01
56	1.100000000000000000e+01
57	1.000000000000000000e+01
58	8.000000000000000000e+00
59	1.700000000000000000e+01
60	1.300000000000000000e+01
61	1.000000000000000000e+01
62	8.000000000000000000e+00
63	1.700000000000000000e+01
64	8.000000000000000000e+00
65	9.000000000000000000e+00
66	2.100000000000000000e+01
67	1.700000000000000000e+01
68	1.600000000000000000e+01
69	4.000000000000000000e+00
70	1.000000000000000000e+01
71	2.400000000000000000e+01
72	1.500000000000000000e+01
73	2.400000000000000000e+01
74	2.300000000000000000e+01
75	1.900000000000000000e+01
76	1.600000000000000000e+01
77	1.100000000000000000e+01
78	1.300000000000000000e+01
79	1.200000000000000000e+01
80	1.300000000000000000e+01
81	1.400000000000000000e+01
82	1.300000000000000000e+01
83	1.100000000000000000e+01
84	1.600000000000000000e+01
85	1.200000000000000000e+01
86	2.000000000000000000e+01
87	1.100000000000000000e+01
88	8.000000000000000000e+00
89	1.300000000000000000e+01
90	1.200000000000000000e+01
91	2.600000000000000000e+01
92	1.400000000000000000e+01
93	7.600000000000000000e+01
94	1.600000000000000000e+01
95	4.700000000000000000e+01
96	7.000000000000000000e+00
97	7.000000000000000000e+00
98	1.200000000000000000e+01
99	5.400000000000000000e+01
100	9.000000000000000000e+00
101	1.400000000000000000e+01
102	1.100000000000000000e+01
103	1.180000000000000000e+02
104	6.300000000000000000e+01
105	1.500000000000000000e+01
106	1.600000000000000000e+01
107	5.000000000000000000e+00
108	3.300000000000000000e+01
109	9.000000000000000000e+00
110	1.480000000000000000e+02
111	1.760000000000000000e+02
112	1.420000000000000000e+02
113	5.000000000000000000e+00
114	2.140000000000000000e+02
115	3.000000000000000000e+01
116	3.200000000000000000e+01
117	3.800000000000000000e+01
118	9.000000000000000000e+00
119	1.400000000000000000e+01
120	3.700000000000000000e+01
121	1.000000000000000000e+01
122	3.600000000000000000e+01
123	7.000000000000000000e+00
124	2.200000000000000000e+01
125	2.300000000000000000e+01
126	2.900000000000000000e+01
127	9.000000000000000000e+00
128	4.200000000000000000e+01
129	9.000000000000000000e+00
130	4.400000000000000000e+01
131	7.500000000000000000e+01
132	1.280000000000000000e+02
133	6.000000000000000000e+00
134	7.200000000000000000e+01
135	2.000000000000000000e+01
136	6.400000000000000000e+01
137	3.400000000000000000e+01
138	3.700000000000000000e+01
139	8.000000000000000000e+00
140	1.170000000000000000e+02
141	3.400000000000000000e+01
142	3.700000000000000000e+01
143	6.100000000000000000e+01
144	1.300000000000000000e+02
145	1.800000000000000000e+02
146	2.600000000000000000e+02
147	6.000000000000000000e+01
148	2.300000000000000000e+02
149	4.200000000000000000e+01
150	7.000000000000000000e+00
151	1.400000000000000000e+02
152	1.110000000000000000e+02
153	5.400000000000000000e+01
154	4.200000000000000000e+01
155	7.000000000000000000e+00
156	1.090000000000000000e+02
157	3.300000000000000000e+01
158	8.800000000000000000e+01
159	8.500000000000000000e+01
160	5.800000000000000000e+01
161	5.600000000000000000e+01
162	4.000000000000000000e+00
163	9.800000000000000000e+01
164	2.000000000000000000e+01
165	4.290000000000000000e+02
166	3.900000000000000000e+01
167	2.040000000000000000e+02
168	2.100000000000000000e+01
169	2.540000000000000000e+02
170	1.900000000000000000e+01
171	1.100000000000000000e+01
172	4.200000000000000000e+01
173	1.770000000000000000e+02
174	2.900000000000000000e+01
175	1.230000000000000000e+02
176	1.100000000000000000e+01
177	2.600000000000000000e+01
178	3.000000000000000000e+00
179	5.470000000000000000e+02
180	1.874000000000000000e+03
181	1.470400000000000000e+04
182	1.800000000000000000e+02
183	7.700000000000000000e+01
184	7.000000000000000000e+01
185	1.637100000000000000e+04
186	4.420000000000000000e+02
187	1.000000000000000000e+01
188	7.200000000000000000e+01
189	2.390000000000000000e+02
190	8.100000000000000000e+01
191	2.690000000000000000e+02
192	1.400000000000000000e+01
193	1.200000000000000000e+01
194	8.200000000000000000e+01
195	9.100000000000000000e+01
196	2.500000000000000000e+01
197	3.000000000000000000e+01
198	2.600000000000000000e+01
199	4.000000000000000000e+01
200	2.600000000000000000e+01
201	9.400000000000000000e+01
202	1.600000000000000000e+01
203	3.200000000000000000e+01
204	7.000000000000000000e+00
205	1.100000000000000000e+01
206	1.500000000000000000e+01
207	3.600000000000000000e+01
208	6.400000000000000000e+01
209	3.200000000000000000e+01
210	2.800000000000000000e+01
211	7.000000000000000000e+00
212	3.700000000000000000e+01
213	1.400000000000000000e+01
214	6.000000000000000000e+00
215	4.200000000000000000e+01
216	3.300000000000000000e+01
217	3.400000000000000000e+01
218	1.300000000000000000e+01
219	6.000000000000000000e+00
220	8.000000000000000000e+00
221	2.800000000000000000e+01
222	1.100000000000000000e+01
223	1.300000000000000000e+01
224	8.900000000000000000e+01
225	5.700000000000000000e+01
226	4.600000000000000000e+01
227	4.400000000000000000e+01
228	1.200000000000000000e+01
229	9.000000000000000000e+00
230	3.300000000000000000e+01
231	2.400000000000000000e+01
232	4.100000000000000000e+01
233	1.000000000000000000e+01
234	4.000000000000000000e+00
235	4.800000000000000000e+01
236	2.400000000000000000e+01
237	2.400000000000000000e+01
238	4.800000000000000000e+01
239	2.600000000000000000e+01
240	7.000000000000000000e+01
241	1.100000000000000000e+01
242	2.200000000000000000e+01
243	4.400000000000000000e+01
244	3.600000000000000000e+01
245	2.100000000000000000e+01
246	1.200000000000000000e+01
247	8.000000000000000000e+00
