# amplicon position	effect
1	1.200000000000000000e+02
2	2.400000000000000000e+01
3	1.200000000000000000e+01
4	8.000000000000000000e+01
5	1.500000000000000000e+01
6	5.950000000000000000e+02
7	3.100000000000000000e+01
8	1.200000000000000000e+01
9	1.100000000000000000e+01
10	4.800000000000000000e+01
11	4.900000000000000000e+01
12	6.000000000000000000e+00
13	6.000000000000000000e+00
14	5.500000000000000000e+01
15	7.000000000000000000e+00
16	4.000000000000000000e+00
17	2.300000000000000000e+01
18	1.200000000000000000e+01
19	1.100000000000000000e+01
20	2.000000000000000000e+00
21	0.000000000000000000e+00
22	0.000000000000000000e+00
23	2.000000000000000000e+00
24	0.000000000000000000e+00
25	0.000000000000000000e+00
26	0.000000000000000000e+00
27	0.000000000000000000e+00
28	0.000000000000000000e+00
29	0.000000000000000000e+00
30	5.000000000000000000e+00
31	0.000000000000000000e+00
32	0.000000000000000000e+00
33	0.000000000000000000e+00
34	3.000000000000000000e+00
35	0.000000000000000000e+00
36	0.000000000000000000e+00
37	0.000000000000000000e+00
38	0.000000000000000000e+00
39	0.000000000000000000e+00
40	0.000000000000000000e+00
41	0.000000000000000000e+00
42	1.000000000000000000e+00
43	1.000000000000000000e+00
44	0.000000000000000000e+00
45	1.000000000000000000e+00
46	1.000000000000000000e+01
47	0.000000000000000000e+00
48	0.000000000000000000e+00
49	0.000000000000000000e+00
50	0.000000000000000000e+00
51	0.000000000000000000e+00
52	0.000000000000000000e+00
53	0.000000000000000000e+00
54	1.000000000000000000e+00
55	4.000000000000000000e+00
56	4.000000000000000000e+00
57	0.000000000000000000e+00
58	1.000000000000000000e+00
59	1.000000000000000000e+00
60	1.000000000000000000e+00
61	0.000000000000000000e+00
62	0.000000000000000000e+00
63	0.000000000000000000e+00
64	6.000000000000000000e+00
65	1.100000000000000000e+01
66	6.000000000000000000e+00
67	6.000000000000000000e+00
68	6.000000000000000000e+00
69	6.000000000000000000e+00
70	6.000000000000000000e+00
71	7.000000000000000000e+00
72	6.000000000000000000e+00
73	7.000000000000000000e+00
74	7.000000000000000000e+00
75	6.000000000000000000e+00
76	8.000000000000000000e+00
77	8.000000000000000000e+00
78	6.000000000000000000e+00
