# amplicon position	effect
1	1.658117151210056761e+01
2	8.639845949315029527e-02
3	4.877846606070846552e-02
4	1.495235332187730137e-01
5	9.723811861775216725e-02
6	6.828985248499185312e-01
7	4.877846606070846552e-02
8	4.622795803139037596e-02
9	4.208338248374848128e-02
10	1.058460832167007204e-01
11	1.176421828522968976e-01
12	2.454863978218661466e-02
13	5.356066861567988779e-02
14	1.488859062114434861e-01
15	1.032955751873826378e-01
16	9.373117007743979323e-02
17	5.515473613400369290e-02
18	7.555880036854840942e-02
19	7.268947883556556300e-02
20	2.263575876019804575e-02
21	1.606820058470396495e-01
22	1.785355620522662695e-02
23	1.211491313926092717e-02
24	2.040406423454471999e-02
25	2.295457226386280955e-02
26	1.211491313926092717e-02
27	1.594067518323806151e-02
28	3.443185839579421259e-02
29	3.985168795809515552e-02
30	2.040406423454471999e-02
31	2.072287773820948031e-02
32	2.295457226386280955e-02
33	9.245591606278075539e-03
34	2.136050474553900097e-02
35	1.849118321255615108e-02
36	2.295457226386280955e-02
37	1.498423467224377706e-02
38	1.880999671622091141e-02
39	3.570711241045325390e-02
40	1.721592919789710630e-02
41	1.402779416124949434e-02
42	1.657830219056758217e-02
43	1.083965912460188238e-02
44	7.332710584289508365e-03
45	1.020203211727235999e-02
46	2.263575876019804575e-02
47	2.709914781150470423e-02
48	2.136050474553900097e-02
49	1.849118321255615108e-02
50	6.376270073295224779e-03
51	1.339016715391997195e-02
52	1.179609963559616510e-02
53	1.689711569423234597e-02
54	1.211491313926092717e-02
55	1.817236970889139075e-02
56	1.307135365025520989e-02
57	7.332710584289508365e-03
58	1.402779416124949434e-02
59	1.912881021988567520e-02
60	2.072287773820948031e-02
61	1.721592919789710630e-02
62	1.052084562093712032e-02
63	2.104169124187424064e-02
64	9.564405109942837602e-03
65	2.295457226386280955e-02
66	2.678033430783994390e-02
67	2.231694525653328542e-02
68	2.072287773820948031e-02
69	7.651524087954269561e-03
70	1.243372664292568749e-02
71	2.614270730051041977e-02
72	1.880999671622091141e-02
73	2.327338576752756988e-02
74	3.060609635181707824e-02
75	1.689711569423234597e-02
76	2.263575876019804575e-02
77	2.231694525653328542e-02
78	1.849118321255615108e-02
79	2.008525073087995619e-02
80	1.912881021988567520e-02
81	1.466542116857901673e-02
82	1.849118321255615108e-02
83	1.020203211727235999e-02
84	1.562186167957329945e-02
85	1.849118321255615108e-02
86	2.646152080417518010e-02
87	2.040406423454471999e-02
88	1.594067518323806151e-02
89	1.498423467224377706e-02
90	1.147728613193140478e-02
91	3.283779087747040748e-02
92	6.950134379891795278e-02
93	3.570711241045325390e-02
94	1.976643722721519586e-02
95	2.582389379684565944e-02
96	1.211491313926092717e-02
97	3.793880693610658661e-02
98	2.359219927119233021e-02
99	3.666355292144753836e-02
100	1.944762372355043553e-02
101	4.909727956437322932e-02
102	2.040406423454471999e-02
103	7.651524087954270081e-02
104	3.188135036647612303e-02
105	2.486745328585137499e-02
106	5.993693868897510824e-02
107	1.976643722721519586e-02
108	7.810930839786650592e-02
109	1.307135365025520989e-02
110	6.790727628059414767e-02
111	1.243372664292568819e-01
112	1.058460832167007204e-01
113	1.243372664292568749e-02
114	1.517552277444263464e-01
115	2.773677481883422488e-02
116	4.144575547641896063e-02
117	3.730117992877706595e-02
118	1.625948868690282184e-02
119	2.263575876019804575e-02
120	3.634473941778278150e-02
121	1.466542116857901673e-02
122	6.982015730258270270e-02
123	2.773677481883422488e-02
124	1.523928547517558740e-01
125	1.594067518323806151e-02
126	1.144540478156492735e-01
127	4.017050146175991238e-02
128	6.695083576959985627e-02
129	3.857643394343610727e-02
130	9.532523759576361222e-02
131	1.444225171601368485e-01
132	1.361333660648530453e-01
133	3.379423138846469193e-02
134	5.324185511201512400e-02
135	4.208338248374848128e-02
136	1.788543755559310333e-01
137	3.220016387014088682e-02
138	3.538829890678849704e-02
139	4.877846606070846552e-02
140	2.467616518365251810e-01
141	8.576083248582076768e-02
