# amplicon position	effect
1	5.087209302325581550e-01
2	1.533333333333333437e+00
3	2.421052631578947345e+00
4	7.409090909090909616e-01
5	2.106382978723404076e+00
6	4.230769230769230727e-01
7	1.333333333333333259e+00
8	2.274999999999999911e+00
9	2.157894736842105310e+00
10	9.280000000000000471e-01
11	6.296296296296296502e-01
12	2.772727272727272929e+00
13	2.541666666666666519e+00
14	7.187500000000000000e-01
15	2.250000000000000000e+00
16	2.590909090909090828e+00
17	9.218750000000000000e-01
18	1.000000000000000000e+00
19	1.146341463414634054e+00
20	3.166666666666666519e+00
21	0.000000000000000000e+00
22	0.000000000000000000e+00
23	6.666666666666666297e-01
24	0.000000000000000000e+00
25	0.000000000000000000e+00
26	0.000000000000000000e+00
27	0.000000000000000000e+00
28	0.000000000000000000e+00
29	0.000000000000000000e+00
30	4.166666666666666852e-01
31	0.000000000000000000e+00
32	0.000000000000000000e+00
33	0.000000000000000000e+00
34	3.333333333333333148e-01
35	0.000000000000000000e+00
36	0.000000000000000000e+00
37	0.000000000000000000e+00
38	0.000000000000000000e+00
39	0.000000000000000000e+00
40	0.000000000000000000e+00
41	0.000000000000000000e+00
42	1.000000000000000000e+00
43	5.000000000000000000e-01
44	0.000000000000000000e+00
45	1.000000000000000000e+00
46	3.846153846153846367e-01
47	0.000000000000000000e+00
48	0.000000000000000000e+00
49	0.000000000000000000e+00
50	0.000000000000000000e+00
51	0.000000000000000000e+00
52	0.000000000000000000e+00
53	0.000000000000000000e+00
54	5.000000000000000000e-01
55	8.888888888888888395e-01
56	8.888888888888888395e-01
57	0.000000000000000000e+00
58	5.000000000000000000e-01
59	6.666666666666666297e-01
60	5.000000000000000000e-01
61	0.000000000000000000e+00
62	0.000000000000000000e+00
63	0.000000000000000000e+00
64	4.900000000000000000e+01
65	8.542857142857142705e+00
66	4.900000000000000000e+01
67	4.900000000000000000e+01
68	4.900000000000000000e+01
69	4.900000000000000000e+01
70	4.900000000000000000e+01
71	3.277777777777777857e+01
72	2.939999999999999858e+01
73	4.228571428571428470e+01
74	3.700000000000000000e+01
75	4.900000000000000000e+01
76	2.980000000000000071e+01
77	3.311111111111111427e+01
78	4.900000000000000000e+01
79	4.900000000000000000e+01
80	4.900000000000000000e+01
81	4.900000000000000000e+01
82	4.900000000000000000e+01
83	4.900000000000000000e+01
84	3.687500000000000000e+01
85	4.900000000000000000e+01
86	2.969999999999999929e+01
87	4.900000000000000000e+01
88	4.900000000000000000e+01
89	4.900000000000000000e+01
90	4.900000000000000000e+01
91	2.681818181818181657e+01
92	4.200000000000000000e+01
93	3.266666666666666430e+01
94	4.214285714285714590e+01
95	3.700000000000000000e+01
96	3.311111111111111427e+01
97	4.275000000000000000e+01
98	4.720000000000000284e+01
99	4.720000000000000284e+01
100	4.720000000000000284e+01
101	7.398058252427184733e+00
102	4.720000000000000284e+01
103	8.273684210526315752e+00
104	4.720000000000000284e+01
105	3.376190476190475920e+01
106	5.942857142857143060e+00
107	4.425000000000000000e+01
108	7.718446601941747254e+00
109	4.720000000000000284e+01
110	1.848780487804878092e+01
111	5.884353741496598289e+00
112	4.729411764705882426e+00
113	4.150000000000000000e+01
114	2.660000000000000142e+00
115	3.092857142857142705e+01
116	3.608333333333333570e+01
117	3.608333333333333570e+01
118	3.338461538461538680e+01
119	3.608333333333333570e+01
120	3.608333333333333570e+01
121	3.608333333333333570e+01
122	3.923611111111111160e+00
123	8.368421052631578760e+00
124	1.973300970873786309e+00
125	4.160000000000000142e+01
126	3.647058823529411686e+00
127	4.884615384615385025e+00
128	4.847619047619047272e+00
129	5.809523809523809312e+00
130	3.061224489795918213e+00
131	6.444444444444444642e+00
132	5.149779735682819215e+00
133	1.409722222222222143e+01
134	4.016666666666666430e+01
135	1.294871794871794890e+01
136	3.080536912751677736e+00
137	5.021052631578947256e+01
138	4.336363636363636687e+01
139	1.134482758620689680e+01
140	2.697019867549669048e+00
141	6.804232804232804632e+00
142	1.821428571428571530e+01
143	9.315068493150684859e+00
144	6.153465346534653158e+00
145	1.088288288288288364e+01
146	4.716129032258064235e+00
147	6.976744186046511587e+00
148	6.576923076923076650e+00
149	1.260386473429951693e+01
150	2.520930232558139394e+01
151	1.623703703703703738e+01
152	1.761111111111111072e+01
153	1.976271186440677852e+01
154	1.519230769230769162e+01
155	1.991438356164383450e+01
156	2.030116472545757134e+01
157	2.685626283367556510e+01
158	2.793641618497109746e+01
159	2.792307692307692335e+01
160	2.772213247172859596e+01
161	2.331431897555296828e+01
162	2.943873517786561322e+01
163	2.394009661835748659e+01
164	2.922993062438057521e+01
165	2.432813340505648370e+01
166	2.418484848484848371e+01
167	2.313626745662293871e+01
168	2.535432409739714643e+01
169	2.337434706906558191e+01
170	2.268762135922330003e+01
171	2.221758454106280212e+01
172	2.113145228215767801e+01
173	2.139268292682926997e+01
174	1.806895599337138592e+01
175	1.829482513055863180e+01
176	1.751161665053243155e+01
177	1.528875823846614779e+01
178	1.533669775095995647e+01
179	1.519934337306402128e+01
180	1.484223439653144183e+01
181	1.370188867626258400e+01
182	1.336526833966504313e+01
183	1.314428759451856799e+01
184	1.233084261478452959e+01
185	5.036681019993276998e+00
186	1.266172563625077530e+01
187	1.280969632705958539e+01
188	1.383535933093455306e+01
189	1.485247675734172823e+01
190	1.580194057669115182e+01
191	1.620998719590268777e+01
192	1.735869272237196625e+01
193	1.833110471896136318e+01
194	1.829651880503662298e+01
195	2.063666519239274777e+01
196	1.921264612114771353e+01
197	2.201141924959216922e+01
198	2.408680615597440777e+01
199	2.539414225941422742e+01
200	2.576897959183673592e+01
201	2.598013447432762746e+01
202	2.805964214711729454e+01
203	2.781943171402383186e+01
204	2.793143976493633573e+01
205	2.686341724692019284e+01
206	2.681949458483754611e+01
207	2.713932584269662840e+01
208	2.767684478371501200e+01
209	2.721928327645051127e+01
210	2.616000000000000014e+01
211	2.608412197686645584e+01
212	2.401907630522088510e+01
213	2.147878787878788032e+01
214	2.082012847965738800e+01
215	1.821603128054740850e+01
216	1.760082304526748942e+01
217	1.789539748953975007e+01
218	1.764693665628244901e+01
219	1.811727078891258103e+01
220	1.888888888888888928e+01
221	1.764670658682634752e+01
222	1.550281848928974071e+01
223	1.476306620209059162e+01
224	1.537810383747178378e+01
225	1.421607515657620091e+01
226	1.376328052190121198e+01
227	1.405778648383937401e+01
228	1.502617801047120416e+01
229	1.497308488612836364e+01
230	1.472479838709677402e+01
231	1.519800000000000040e+01
232	1.327674418604651230e+01
233	1.279335793357933504e+01
234	1.337548188126445581e+01
235	1.382087227414330144e+01
236	1.351485148514851531e+01
237	1.282833217027215689e+01
238	1.265547945205479508e+01
239	1.188228299643281893e+01
240	1.181973995271867572e+01
241	1.141540191118605918e+01
242	1.041536129358261675e+01
243	9.433581762384918079e+00
244	7.979358643568005505e+00
245	7.973191333088505139e+00
246	6.499403697078115272e+00
247	3.343000557724483901e+00
