# amplicon position	effect
1	1.200000000000000000e+02
2	1.020000000000000000e+02
3	1.600000000000000000e+01
4	7.000000000000000000e+01
5	7.700000000000000000e+01
6	5.400000000000000000e+01
7	2.100000000000000000e+01
8	5.200000000000000000e+01
9	4.200000000000000000e+01
10	2.500000000000000000e+01
11	2.000000000000000000e+01
12	2.500000000000000000e+01
13	2.900000000000000000e+01
14	1.000000000000000000e+02
15	1.560000000000000000e+02
16	1.220000000000000000e+02
17	4.700000000000000000e+01
18	1.800000000000000000e+01
19	2.700000000000000000e+01
20	2.900000000000000000e+01
21	2.820000000000000000e+02
22	3.400000000000000000e+01
23	2.100000000000000000e+01
24	3.500000000000000000e+01
25	3.700000000000000000e+01
26	2.000000000000000000e+01
27	3.000000000000000000e+01
28	8.300000000000000000e+01
29	2.600000000000000000e+01
30	3.000000000000000000e+01
31	3.400000000000000000e+01
32	3.900000000000000000e+01
33	1.500000000000000000e+01
34	2.800000000000000000e+01
35	2.800000000000000000e+01
36	3.900000000000000000e+01
37	2.000000000000000000e+01
38	3.700000000000000000e+01
39	4.000000000000000000e+01
40	2.700000000000000000e+01
41	2.100000000000000000e+01
42	1.800000000000000000e+01
43	1.800000000000000000e+01
44	1.600000000000000000e+01
45	1.600000000000000000e+01
46	2.400000000000000000e+01
47	4.400000000000000000e+01
48	3.100000000000000000e+01
49	2.900000000000000000e+01
50	9.000000000000000000e+00
51	2.400000000000000000e+01
52	2.000000000000000000e+01
53	2.700000000000000000e+01
54	2.100000000000000000e+01
55	2.500000000000000000e+01
56	1.500000000000000000e+01
57	8.000000000000000000e+00
58	2.200000000000000000e+01
59	2.700000000000000000e+01
60	3.900000000000000000e+01
61	2.900000000000000000e+01
62	2.100000000000000000e+01
63	3.700000000000000000e+01
64	1.300000000000000000e+01
65	1.900000000000000000e+01
66	5.000000000000000000e+01
67	3.400000000000000000e+01
68	3.400000000000000000e+01
69	1.000000000000000000e+01
70	2.100000000000000000e+01
71	3.600000000000000000e+01
72	2.500000000000000000e+01
73	3.500000000000000000e+01
74	4.900000000000000000e+01
75	2.200000000000000000e+01
76	3.400000000000000000e+01
77	3.300000000000000000e+01
78	3.100000000000000000e+01
79	3.300000000000000000e+01
80	2.900000000000000000e+01
81	2.100000000000000000e+01
82	2.900000000000000000e+01
83	1.200000000000000000e+01
84	1.900000000000000000e+01
85	2.700000000000000000e+01
86	3.600000000000000000e+01
87	3.600000000000000000e+01
88	2.500000000000000000e+01
89	2.300000000000000000e+01
90	1.500000000000000000e+01
91	5.500000000000000000e+01
92	1.280000000000000000e+02
93	2.300000000000000000e+01
94	3.000000000000000000e+01
95	2.100000000000000000e+01
96	1.600000000000000000e+01
97	9.200000000000000000e+01
98	3.200000000000000000e+01
99	3.200000000000000000e+01
100	2.500000000000000000e+01
101	2.900000000000000000e+01
102	3.200000000000000000e+01
103	2.200000000000000000e+01
104	1.800000000000000000e+01
105	3.300000000000000000e+01
106	2.600000000000000000e+01
107	2.400000000000000000e+01
