# amplicon position	effect
1	3.190000000000000000e+02
2	7.700000000000000000e+01
3	5.800000000000000000e+01
4	1.860000000000000000e+02
5	5.500000000000000000e+01
6	1.615000000000000000e+03
7	8.100000000000000000e+01
8	3.600000000000000000e+01
9	3.800000000000000000e+01
10	1.060000000000000000e+02
11	1.470000000000000000e+02
12	2.300000000000000000e+01
13	2.400000000000000000e+01
14	1.250000000000000000e+02
15	2.000000000000000000e+01
16	1.500000000000000000e+01
17	4.100000000000000000e+01
18	6.600000000000000000e+01
19	4.900000000000000000e+01
20	1.000000000000000000e+01
21	1.000000000000000000e+00
22	0.000000000000000000e+00
23	2.000000000000000000e+00
24	1.000000000000000000e+00
25	0.000000000000000000e+00
26	2.000000000000000000e+00
27	0.000000000000000000e+00
28	0.000000000000000000e+00
29	0.000000000000000000e+00
30	7.000000000000000000e+00
31	0.000000000000000000e+00
32	0.000000000000000000e+00
33	0.000000000000000000e+00
34	1.100000000000000000e+01
35	0.000000000000000000e+00
36	0.000000000000000000e+00
37	1.000000000000000000e+00
38	0.000000000000000000e+00
39	5.000000000000000000e+00
40	1.000000000000000000e+00
41	0.000000000000000000e+00
42	0.000000000000000000e+00
43	3.000000000000000000e+00
44	0.000000000000000000e+00
45	3.000000000000000000e+00
46	2.100000000000000000e+01
47	2.000000000000000000e+00
48	0.000000000000000000e+00
49	0.000000000000000000e+00
50	0.000000000000000000e+00
51	0.000000000000000000e+00
52	0.000000000000000000e+00
53	0.000000000000000000e+00
54	1.000000000000000000e+00
55	2.000000000000000000e+00
56	4.000000000000000000e+00
57	0.000000000000000000e+00
58	0.000000000000000000e+00
59	0.000000000000000000e+00
60	2.000000000000000000e+00
61	0.000000000000000000e+00
62	0.000000000000000000e+00
63	0.000000000000000000e+00
64	0.000000000000000000e+00
65	2.200000000000000000e+01
66	2.000000000000000000e+00
67	0.000000000000000000e+00
68	0.000000000000000000e+00
69	1.000000000000000000e+00
70	0.000000000000000000e+00
71	0.000000000000000000e+00
72	5.000000000000000000e+00
73	1.000000000000000000e+00
74	2.000000000000000000e+00
75	0.000000000000000000e+00
76	2.000000000000000000e+00
77	2.000000000000000000e+00
78	0.000000000000000000e+00
79	0.000000000000000000e+00
80	0.000000000000000000e+00
81	0.000000000000000000e+00
82	0.000000000000000000e+00
83	0.000000000000000000e+00
84	2.000000000000000000e+00
85	0.000000000000000000e+00
86	6.000000000000000000e+00
