# amplicon position	effect
1	1.290000000000000000e+02
2	1.500000000000000000e+02
3	4.300000000000000000e+01
4	1.150000000000000000e+02
5	9.200000000000000000e+01
6	7.400000000000000000e+01
7	4.700000000000000000e+01
8	7.100000000000000000e+01
9	4.300000000000000000e+01
10	4.400000000000000000e+01
11	3.500000000000000000e+01
12	3.500000000000000000e+01
13	4.100000000000000000e+01
14	1.680000000000000000e+02
15	2.030000000000000000e+02
16	2.030000000000000000e+02
17	5.400000000000000000e+01
18	3.800000000000000000e+01
19	6.900000000000000000e+01
20	4.000000000000000000e+01
21	3.830000000000000000e+02
22	3.200000000000000000e+01
23	4.500000000000000000e+01
24	4.700000000000000000e+01
25	4.600000000000000000e+01
26	2.300000000000000000e+01
27	4.900000000000000000e+01
28	4.300000000000000000e+01
29	2.300000000000000000e+01
30	5.500000000000000000e+01
31	4.900000000000000000e+01
32	3.900000000000000000e+01
33	2.200000000000000000e+01
34	3.900000000000000000e+01
35	3.200000000000000000e+01
36	4.000000000000000000e+01
37	2.400000000000000000e+01
38	4.700000000000000000e+01
39	4.700000000000000000e+01
40	4.600000000000000000e+01
41	3.100000000000000000e+01
42	2.700000000000000000e+01
43	1.500000000000000000e+01
44	2.000000000000000000e+01
45	2.500000000000000000e+01
46	3.300000000000000000e+01
47	4.200000000000000000e+01
48	4.400000000000000000e+01
49	5.600000000000000000e+01
50	1.300000000000000000e+01
51	3.600000000000000000e+01
52	3.700000000000000000e+01
53	2.700000000000000000e+01
54	2.400000000000000000e+01
55	2.800000000000000000e+01
56	2.400000000000000000e+01
57	1.500000000000000000e+01
58	2.200000000000000000e+01
59	4.700000000000000000e+01
60	3.800000000000000000e+01
61	5.000000000000000000e+01
62	2.400000000000000000e+01
63	4.300000000000000000e+01
64	2.300000000000000000e+01
65	2.900000000000000000e+01
66	4.000000000000000000e+01
67	4.100000000000000000e+01
68	4.100000000000000000e+01
69	1.400000000000000000e+01
70	2.100000000000000000e+01
71	5.600000000000000000e+01
72	4.400000000000000000e+01
73	4.000000000000000000e+01
74	6.100000000000000000e+01
75	2.800000000000000000e+01
76	4.300000000000000000e+01
77	3.100000000000000000e+01
78	3.700000000000000000e+01
79	3.300000000000000000e+01
80	2.800000000000000000e+01
81	3.100000000000000000e+01
82	3.200000000000000000e+01
83	1.400000000000000000e+01
84	2.700000000000000000e+01
85	4.500000000000000000e+01
86	4.400000000000000000e+01
87	2.700000000000000000e+01
88	3.800000000000000000e+01
